State,Branch,Type,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers
Pennsylvania,Senate,Primary,R,David McCormick,0,419218,0,DaveMcCormickPA,['Homegrown Pennsylvanian. Father. Husband. Veteran. Businessman. Christmas Tree Trimmer. GOP Candidate for US Senate.'],29,6361
Idaho,Senate,General,D,David Roth,0,47225,0,rothforIdaho,"['Democrat. Dad x2. Openly Gay U.S. Senate Nominee, Idaho- 2022. Running in ""red"" Idaho because NO state is a lost cause.']",18755,28045
Idaho,Senate,Primary,D,David Roth,1,19160,0,rothforIdaho,"['Democrat. Dad x2. Openly Gay U.S. Senate Nominee, Idaho- 2022. Running in ""red"" Idaho because NO state is a lost cause.']",18755,28045
Wisconsin,Senate,Primary,R,David Schroeder,0,21616,0,SchroederWBAY,"['Follower of Jesus Christ, worship drummer at Central Church GB, Sports Anchor M-F 10pm on WBAY-TV Green Bay dschroeder@wbay.com, #BowTieFriday']",1029,3162
Oklahoma,Senate,Primary,D,Dennis Baker,0,22458,0,DennisLBaker,"['Democrat, lawyer, former FBI Special Agent, Tsoyaha, American, fighting for living wage jobs, public education, health care access for all, & safe communities.']",5861,6431
Louisiana,Senate,Primary,R,Devin Lance Graham,0,24785,0,NO_HANDLE,None,0,0
New Hampshire,Senate,General,R,Don Bolduc,0,243583,0,GenDonBolduc,['Former (R) Candidate for the U.S. Senate || Retired U.S. Army Brigadier General. Special Ops Africa. Mental Health Advocate. Patriots Fan. IG: @gendonbolduc'],4879,25391
New Hampshire,Senate,Primary,R,Don Bolduc,1,52637,0,GenDonBolduc,['Former (R) Candidate for the U.S. Senate || Retired U.S. Army Brigadier General. Special Ops Africa. Mental Health Advocate. Patriots Fan. IG: @gendonbolduc'],4879,25391
Missouri,Senate,Primary,R,Eric Greitens,0,124155,0,EricGreitens,['Proud Dad • Navy SEAL • 56th Governor of Missouri'],869,143105
Missouri,Senate,General,R,Eric Schmitt,1,785330,0,Eric_Schmitt,['Husband • Father • Attorney General and  U.S. Senator-Elect from Missouri • Diehard #STLCards fan'],2691,95425
Missouri,Senate,Primary,R,Eric Schmitt,1,299282,0,Eric_Schmitt,['Husband • Father • Attorney General and  U.S. Senator-Elect from Missouri • Diehard #STLCards fan'],2691,95425
North Carolina,Senate,Primary,D,Everette Newton,0,10043,0,NO_HANDLE,None,0,0
Georgia,Senate,Primary,R,Gary Black,0,157370,0,NO_HANDLE,None,0,0
Louisiana,Senate,Primary,D,Gary Chambers,0,235077,0,GaryChambersJr,['Zoey’s Dad | Former Candidate for U.S. Senate | Advocate/Activist | Booking email: bookgcj@gmail.com |#ChangeAgent | Bigger Than Me | Founder'],914,138381
Missouri,Senate,Primary,D,Gena Ross,0,8715,0,GenaRossforMO6,"['Official Twitter account for the Dr. Gena Ross for US Senate Campaign, MO. Primary Winner for US Congress, MO, District 6 (2020). I dare to be different! 💯✝️']",2232,1048
Pennsylvania,Senate,Primary,R,George Bochetto,0,14492,0,GeorgeBochetto,['George Bochetto is the GOP candidate supported by law enforcement running for US Senate from the Commonwealth of Pennsylvania. Former PA Boxing Commissioner.'],41,130
Maryland,Senate,Primary,R,George Davis,0,18875,0,NO_HANDLE,None,0,0
Vermont,Senate,General,R,Gerald Malloy,0,80121,0,SUSPENDED,None,0,0
Vermont,Senate,Primary,R,Gerald Malloy,1,12069,0,SUSPENDED,None,0,0
Iowa,Senate,Primary,D,Glenn Hurst,0,7538,0,DrGlennHurst,"['Candidate for US Senate in Iowa. Rural Doctor, Minden City Council Member, Rural Caucus Chair @IowaDemocrats']",1220,1879
Arkansas,Senate,Primary,R,Heath Loftis,0,7086,0,pstrheathloftis,['Republican Candidate for US Senate for the state of Arkansas\nPastor at Park Avenue Missionary Baptist Church\n0351 USMC Reserve (2011-2017)\nHusband\nFather'],63,40
Georgia,Senate,General,R,Herschel Walker,1,1906192,0,HerschelWalker,['Candidate for United States Senate'],4363,913247
Georgia,Senate,Primary,R,Herschel Walker,1,803560,0,HerschelWalker,['Candidate for United States Senate'],4363,913247
Oregon,Senate,Primary,R,Ibrahim Taher,0,6659,0,NO_HANDLE,None,0,0
Vermont,Senate,Primary,D,Isaac Evans-Frantz,0,3367,0,iefrantz,['Let’s stop wars & help our neighbors. Work: @theActionCorps. Views here my own. Follow my Vermont political work: @IsaacForVT'],203,595
Ohio,Senate,General,R,J.D. Vance,1,2147898,0,JDVance1,"['Christian, husband, dad. U.S. Senator-elect from Ohio. Author of @hillbillyelegy; co-founder @NaryaVC.']",1111,329683
Ohio,Senate,Primary,R,J.D. Vance,1,344736,0,JDVance1,"['Christian, husband, dad. U.S. Senator-elect from Ohio. Author of @hillbillyelegy; co-founder @NaryaVC.']",1111,329683
Arkansas,Senate,Primary,D,Jack Foster,0,13844,0,NO_HANDLE,None,0,0
Oklahoma,Senate,Primary,R,Jackson Lahmeyer,0,94504,0,JacksonLahmeyer,['Husband | Father | Pastor of https://t.co/IRBLeVCZ18 | Small Business Owner'],236,19596
Arkansas,Senate,Primary,R,Jake Bequette,0,64487,0,JakeBequette,None,31,68
Alabama,Senate,Primary,R,Jake Schafer,0,6951,0,NO_HANDLE,None,0,0
North Carolina,Senate,Primary,D,James Carr Jr,0,21903,0,NO_HANDLE,None,0,0
Oklahoma,Senate,General,R,James Lankford,1,739302,1,SenatorLankford,"['Follower of Christ, husband to Cindy, father of two daughters serving the state of Oklahoma in the United States Senate.']",749,121439
Oklahoma,Senate,Primary,R,James Lankford,1,242984,1,SenatorLankford,"['Follower of Christ, husband to Cindy, father of two daughters serving the state of Oklahoma in the United States Senate.']",749,121439
California,Senate,Primary,R,James P. Bradley,0,235788,0,JamesBradleyCA,['Veteran. Father. Defender of the US Constitution'],2147,118355
Maryland,Senate,Primary,R,James Tarantin,0,17877,0,JamesTarantin,['⭐  Politicians = Greatest Danger\n\n⭐  Stop the Genocide of Dreams\n\n⭐  Make Your Voice Come Alive!\n\n⭐  Spread Light for Unity'],68,1950
Arkansas,Senate,Primary,R,Jan Morgan,0,57062,0,JanMorganMedia,"['National Conservative Commentator, Certified Firearms Instructor, Founder 2AWomen']",820,14456
Ohio,Senate,Primary,R,Jane Timken,0,62779,0,JaneTimkenOH,None,2664,16892
Oregon,Senate,Primary,R,Jason Beebe,0,39456,0,JasonBeebe,None,0,1
Oklahoma,Senate,Primary,D,Jason Bollinger,0,27359,0,Jason_Bollinger,['Attorney. ⚖️ Concerned citizen. 🗣 Former candidate for U.S. Senate. 🇺🇸 (he/him)'],5908,6174
Pennsylvania,Senate,Primary,R,Jeff Bartos,0,66684,0,jeff_bartos,"['Father of two, husband. Co-Founder of the @PA30DayFund.']",183,4046
Kansas,Senate,General,R,Jerry Moran,1,587380,1,JerryMoran,['Official account of U.S. Senator Jerry Moran. Honored to represent Kansans in the U.S. Senate.'],3064,118586
Kansas,Senate,Primary,R,Jerry Moran,1,114688,1,JerryMoran,['Official account of U.S. Senator Jerry Moran. Honored to represent Kansans in the U.S. Senate.'],3064,118586
Missouri,Senate,Primary,D,Jewel Kelly Jr.,0,6443,0,JewelCommittee,['Missouri Democratic Party. I’m a military vet. Business Owner. Moderate. He/Him. Principle Over Party. Is it Legal? Safe? Fair?'],901,877
Iowa,Senate,Primary,R,Jim Carlin,0,50166,0,NO_HANDLE,None,0,0
Arizona,Senate,Primary,R,Jim Lamon,0,228467,0,jim_lamon,"['Investor, Founder DEPCOM Power, US Army Paratrooper Officer, Bama Linebacker']",230,6085
Illinois,Senate,Primary,R,Jimmy Lee Tillman II,0,34951,0,tillman_ii,"['GOP Candidate US HOUSE-IL 01, Christian Conservative, MLKRepublicans, Urban Political Strategist, RLI Fellow, Sentinel,Son, Dad, Grandpa #MAGA #BlackRepublican']",62,77
Oklahoma,Senate,Primary,D,Jo Glenn,0,21176,0,NO_HANDLE,None,0,0
Oregon,Senate,General,R,Jo Rae Perkins,0,554413,0,PerkinsForUSSen,"[""US Senate Constitution & Republican Parties Nominee for Oregon\nConservative. Wife, Mother, Grandmother, Patriot, Pro-Life, 2A. \nLet's reunite Oregon and America""]",1533,6073
Oregon,Senate,Primary,R,Jo Rae Perkins,1,115701,0,PerkinsForUSSen,"[""US Senate Constitution & Republican Parties Nominee for Oregon\nConservative. Wife, Mother, Grandmother, Patriot, Pro-Life, 2A. \nLet's reunite Oregon and America""]",1533,6073
Kansas,Senate,Primary,R,Joan Farr,0,28204,0,NO_HANDLE,None,0,0
Oklahoma,Senate,Primary,R,Joan Farr,0,20737,0,NO_HANDLE,None,0,0
Colorado,Senate,General,R,Joe O'Dea,0,891752,0,ODeaForColorado,['Construction CEO. Husband. Dad. Proud American. Ran for the U.S. Senate to be a voice for working Americans.'],433,8661
Colorado,Senate,Primary,R,Joe O'Dea,1,249492,0,ODeaForColorado,['Construction CEO. Husband. Dad. Proud American. Ran for the U.S. Senate to be a voice for working Americans.'],433,8661
New York,Senate,General,R,Joe Pinion,0,2441975,0,JosephPinion,['A Concerned Son | An Aggrieved Grandson | A Native New Yorker🗽 | Candidate For U.S. Senate (NY) 🇺🇸 | Help us FIRE #ChuckSchumer'],1228,30117
Arkansas,Senate,General,R,John Boozman,1,587990,1,JohnBoozman,"['U.S. Senator for Arkansas serving as @SenateAgGOP leader and on the Appropriations, EPW & Veterans’ Affairs committees #ServingAR #ARinDC 202-224-4843']",790,106111
Arkansas,Senate,Primary,R,John Boozman,1,178719,1,JohnBoozman,"['U.S. Senator for Arkansas serving as @SenateAgGOP leader and on the Appropriations, EPW & Veterans’ Affairs committees #ServingAR #ARinDC 202-224-4843']",790,106111
Pennsylvania,Senate,General,D,John Fetterman,1,2637598,0,JohnFetterman,"['Dad, husband to @GiseleFetterman, and Senator-Elect for the Commonwealth of Pennsylvania. 🇺🇸']",4969,932281
Pennsylvania,Senate,Primary,D,John Fetterman,1,753557,0,JohnFetterman,"['Dad, husband to @GiseleFetterman, and Senator-Elect for the Commonwealth of Pennsylvania. 🇺🇸']",4969,932281
Washington,Senate,Primary,R,John Guenther,0,31191,0,Guenther4Senate,['Hello my name is John Guenther and I am running for US Senate in the state of Washington.'],105,17
North Dakota,Senate,General,R,John Hoeven,1,114031,1,SenJohnHoeven,"['U.S. Senator for North Dakota serving on the Senate Agriculture, Energy, Appropriations & Indian Affairs committees.']",768,119036
North Dakota,Senate,Primary,R,John Hoeven,1,4917,1,SenJohnHoeven,"['U.S. Senator for North Dakota serving on the Senate Agriculture, Energy, Appropriations & Indian Affairs committees.']",768,119036
Kentucky,Senate,General,D,John Merrill,0,28931,0,JohnHMerrill,['Representing the People of Alabama as their 53rd Secretary of State'],1121,8991
Louisiana,Senate,Primary,R,John Neely Kennedy,1,822298,1,SenJohnKennedy,['Official account of U.S. Senator John Kennedy of Louisiana.\nFacebook: https://t.co/X7wYyW9pnx'],1299,547131
New Hampshire,Senate,Primary,D,John Riggieri,0,369,0,NO_HANDLE,None,0,0
Kentucky,Senate,Primary,R,John Schiess,0,5538,0,NO_HANDLE,None,0,0
Maryland,Senate,Primary,R,John Thormann,0,29374,0,NO_HANDLE,None,0,0
South Dakota,Senate,General,R,John Thune,1,125483,1,SenJohnThune,['Senate Republican Whip. Representing South Dakota. Father. Grandfather. Husband. Sports Fan. Avid Outdoorsman. Hates Shoveling Snow.\nhttps://t.co/CAJybse6Mc'],342,135433
South Dakota,Senate,Primary,R,John Thune,1,57225,1,SenJohnThune,['Senate Republican Whip. Representing South Dakota. Father. Grandfather. Husband. Sports Fan. Avid Outdoorsman. Hates Shoveling Snow.\nhttps://t.co/CAJybse6Mc'],342,135433
Maryland,Senate,Primary,R,Jon McGreevey,0,12864,0,NO_HANDLE,None,0,0
California,Senate,Primary,R,Jonathan Elist,0,289716,0,jonelist,['Father. Husband. Business Owner. Ex Government Advisor.'],368,1438
Georgia,Senate,Primary,R,Jonathan McColumn,0,28601,0,JonMcColumn,['🇺🇸ONE Nation under God'],40,41
Maryland,Senate,Primary,R,Joseph Perez,0,23321,0,NO_HANDLE,None,0,0
Georgia,Senate,Primary,R,Josh Clark,0,46693,0,JoshClarkGA,"['Husband & father of six blessings! XC Coach, Biz Owner, past Executive @NeoLife Intl, former GA State Representative & U.S. Senate Candidate, ❤️ Jesus']",989,1578
Ohio,Senate,Primary,R,Josh Mandel,0,255854,0,JoshMandelOhio,['Proud dad. Marine vet. Former State Treasurer of Ohio.'],4125,78062
Kentucky,Senate,General,D,Joshua Blanton Sr.,0,30980,0,JoshuaBlantonSr,"[""I've decided to run against Mitch McConnell in 2026 for his U.S. Kentucky Senate seat.  My campaign slogan will be MAKE MITCH MY BITCH!!!  LOL!!!""]",4787,4060
Arizona,Senate,Primary,R,Justin Olson,0,41985,0,_JustinOlson,['Republican Candidate for U.S. Senate in Arizona. \n\nPress Inquiries: OlsonForSenate@amwpr.com'],344,1435
Alabama,Senate,Primary,R,Karla DuPriest,0,5366,0,NO_HANDLE,None,0,0
Pennsylvania,Senate,Primary,R,Kathy Barnette,0,331903,0,Kathy4Truth,"['National Spokeswoman @1776ActionOrg | Grassroots Boss-Lady | Wife | Homeschool Mom | Author | VETERAN | 2022 Republican Candidate for U.S. Senate, PA']",3703,200521
Illinois,Senate,General,R,Kathy Salvi,0,1655282,0,salviforsenate,"['Kathy is running for U.S. Senate to bring back faith in our government, restore public trust, and reinstate civility to public service.']",226,1359
Illinois,Senate,Primary,R,Kathy Salvi,1,207982,0,salviforsenate,"['Kathy is running for U.S. Senate to bring back faith in our government, restore public trust, and reinstate civility to public service.']",226,1359
Alabama,Senate,Primary,R,Katie Britt,1,268949,1,KatieBrittforAL,"[""Unapologetically committed to putting #AlabamaFirst and delivering results for our great state.\n\nText KATIE to 484848 to join our campaign's text list.""]",2,19798
Alabama,Senate,General,R,Katie Britt,1,940054,1,KatieBrittforAL,"[""Unapologetically committed to putting #AlabamaFirst and delivering results for our great state.\n\nText KATIE to 484848 to join our campaign's text list.""]",2,19798
North Dakota,Senate,General,D,Katrina Christiansen,0,51076,0,katrina_senate,"['Former US Senate Candidate. https://t.co/zLDyFghPVq\n Engineer. Proud Progressive & Democrat. \nMama, runner and reader. Educator.']",766,1909
North Dakota,Senate,Primary,D,Katrina Christiansen,1,4456,0,katrina_senate,"['Former US Senate Candidate. https://t.co/zLDyFghPVq\n Engineer. Proud Progressive & Democrat. \nMama, runner and reader. Educator.']",766,1909
Alaska,Senate,General,R,Kelly Tshibaka,0,117299,0,KellyForAlaska,"['Alaskan, wife, and proud mom of 5. Standing for financial prosperity, family, freedom, firearms, fiscal responsibility, & our future generations.']",8,32026
Alaska,Senate,Primary,R,Kelly Tshibaka,1,73161,0,KellyForAlaska,"['Alaskan, wife, and proud mom of 5. Standing for financial prosperity, family, freedom, firearms, fiscal responsibility, & our future generations.']",8,32026
Georgia,Senate,Primary,R,Kelvin King,0,37930,0,kelvinking4ga,"['Former U.S. Senate candidate from Georgia. Husband, Father, Christian. Business Owner. USAFA grad, USAF Veteran. Co-Founder, Speak Georgia #WinForAmerica']",98,2964
New Hampshire,Senate,Primary,R,Kevin Smith,0,16566,0,TeamSmithforNH,['Conservative Fighter/Fixer for US Senate | Fmr L’derry Town Manager | Fighting for New Hampshire because #MaggieHasnt | #NHSen | Also @nhkevinsmith'],498,1150
South Carolina,Senate,General,D,Krystle Matthews,0,455066,0,NO_HANDLE,None,0,0
South Carolina,Senate,Primary,D,Krystle Matthews,1,57278,0,NO_HANDLE,None,0,0
Alabama,Senate,Primary,D,Lanny Jackson,0,28402,0,NO_HANDLE,None,0,0
Georgia,Senate,Primary,R,Latham Saddler,0,104471,0,LathamSaddler,"['Next Generation Conservative Leader. Candidate for U.S. Senate in Georgia. Fmr. Navy SEAL officer, NSC Director of Intelligence Programs, & White House Fellow.']",149,2819
Connecticut,Senate,General,R,Leora Levy,0,534209,0,LeoraLevyCT,['AmPatriot/CT US Sen candidate 2022/RNC NCW-CT/US Ambassador nominee-2019/ Philanthropist-Volunteer/Businesswoman/Mother/Wife #GodBlessAmerica #RNC #CTGOP #CTSen'],199,5273
Connecticut,Senate,Primary,R,Leora Levy,1,46665,0,LeoraLevyCT,['AmPatriot/CT US Sen candidate 2022/RNC NCW-CT/US Ambassador nominee-2019/ Philanthropist-Volunteer/Businesswoman/Mother/Wife #GodBlessAmerica #RNC #CTGOP #CTSen'],199,5273
Missouri,Senate,Primary,D,Lewis Rolen,0,5228,0,rolenlewis1,"[""I'm Lewis Rolen a former Social Studies Teacher and Athletics Coach who is running for the U.S. Senate in Missouri on the Democratic ticket.""]",53,72
Alabama,Senate,Primary,R,Lillie Boddie,0,4865,0,NO_HANDLE,None,0,0
Alaska,Senate,General,R,Lisa Murkowski,1,135972,1,lisamurkowski,"[""Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.""]",588,328808
Alaska,Senate,Primary,R,Lisa Murkowski,1,85344,1,lisamurkowski,"[""Official Twitter account for U.S. Senator Lisa Murkowski. Follow me for news and updates on what's happening in the Senate and across Alaska.""]",588,328808
Maryland,Senate,Primary,R,Lorie Friend,0,31461,0,LorieFriendGOP,['🇺🇸 Republican Candidate for the United States Senate 2022 Election 🇺🇸\nWeb: https://t.co/45hqfvZ1bq \nEmail: electafriend@gmail.com'],24,24
Missouri,Senate,Primary,D,Lucas Kunce,0,140953,0,LucasKunceMO,"['13-year Marine veteran, former arms control negotiator, antitrust advocate, Missouri populist']",2138,68159
Louisiana,Senate,Primary,D,Luke Mixon,0,170006,0,LukeMixonLA,"['Father of Sam & Charlie, husband to Renee, veteran fighter pilot, (D) candidate for Senate against Sen. John Kennedy in LA ➡️ Chip in at https://t.co/nlwtgAesEs']",167,89223
Oklahoma,Senate,General,D,Madison Horn,0,368969,0,madisonhornok,['Former US Senate Nominee | Cybersecurity | Critical Infrastructure | Foreign Policy | Bringing logic back to politics | Individual defying party politics'],9366,19810
Oklahoma,Senate,Primary,D,Madison Horn,1,60631,0,madisonhornok,['Former US Senate Nominee | Cybersecurity | Critical Infrastructure | Foreign Policy | Bringing logic back to politics | Individual defying party politics'],9366,19810
New Hampshire,Senate,General,D,Maggie Hassan,1,298351,1,SenatorHassan,"['New England sports fan, mom, crossword enthusiast, former governor, U.S. Senator for New Hampshire.']",546,163005
New Hampshire,Senate,Primary,D,Maggie Hassan,1,21740,1,SenatorHassan,"['New England sports fan, mom, crossword enthusiast, former governor, U.S. Senator for New Hampshire.']",546,163005
Pennsylvania,Senate,Primary,D,Malcolm Kenyatta,0,139393,0,malcolmkenyatta,"['Representing PA’s 181st District • Former Democratic Candidate for U.S. Senate, PA • @drmattkenyatta’s husband • Chair @agendapac • PA Co-Chair @climatepower']",6546,162843
Wisconsin,Senate,General,D,Mandela Barnes,0,1307282,0,TheOtherMandela,"['WI’s Lt. Governor. Runner, struggling plant dad, and believer in opportunity for all. He/him.']",1604,149901
Wisconsin,Senate,Primary,D,Mandela Barnes,1,362787,0,TheOtherMandela,"['WI’s Lt. Governor. Runner, struggling plant dad, and believer in opportunity for all. He/him.']",1604,149901
Florida,Senate,General,R,Marco Rubio,1,4469883,1,marcorubio,"['Christian,Husband,Father,AMERICAN,Senator for Florida, Instagram:@marcorubio Truth:@marcorubio #GatorNation #FinsUp']",2533,4494612
North Carolina,Senate,Primary,D,Marcus Williams,0,17446,0,NO_HANDLE,None,0,0
North Carolina,Senate,Primary,R,Marjorie K. Eastman,0,22535,0,MarjorieKEastmn,"['#Veteran, military spouse, mom & entrepreneur. Political Outsider & Conservative 💕🇺🇸 & NC. #mke4nc #me4nc #ncpol']",554,752
Arizona,Senate,Primary,R,Mark Brnovich,0,144092,0,GeneralBrnovich,['Attorney General of Arizona 🌵Husband 🌵Father Fighting for Justice 🌵Committed to Upholding the Rule of Law #GoDevils #MusicBuff #AZAG #NunChuckEnthusiast'],2579,51848
Arizona,Senate,General,D,Mark Kelly,1,1128917,1,CaptMarkKelly,['Navy combat veteran & retired NASA astronaut. Husband to @GabbyGiffords. United States Senator for the great state of Arizona.'],1538,495882
Missouri,Senate,Primary,R,Mark McCloskey,0,19540,0,mccloskeyusa,"['Conservative Outsider running for Senate. Father, Husband, proud Missourian. The only outsider running in a field of politicians!']",54,30112
California,Senate,General,R,Mark Meuser,0,2213091,0,MarkMeuser,['Candidate for U.S. Senate for California\nConstitutional and Election Law Attorney.'],706,16581
California,Senate,Primary,R,Mark Meuser,1,1028374,0,MarkMeuser,['Candidate for U.S. Senate for California\nConstitutional and Election Law Attorney.'],706,16581
South Dakota,Senate,Primary,R,Mark Mowry,0,5688,0,NO_HANDLE,None,0,0
Ohio,Senate,Primary,R,Mark Pukita,0,22692,0,Mark4Ohio,"['Official Campaign Twitter | Entrepreneur, Businessperson & Candidate for US Senate | Join our Social Media Army & let\'s ""Beat the Swamp""! | Personal: @mpukita']",356,1109
Kansas,Senate,General,D,Mark R. Holland,0,355427,0,MarkHollandKCK,"['2022 Democrat Candidate for US Senate in Kansas.\nUnited Methodist Pastor. Former Mayor/CEO of the Unified Government of Wyandotte County/Kansas City, Kansas']",590,2981
Kansas,Senate,Primary,D,Mark R. Holland,1,96666,0,MarkHollandKCK,"['2022 Democrat Candidate for US Senate in Kansas.\nUnited Methodist Pastor. Former Mayor/CEO of the Unified Government of Wyandotte County/Kansas City, Kansas']",590,2981
